"pattern","status","unlocked_by","wordle_number"
"GGYXY","locked","",""
"GGYXG","locked","",""
"GGYYX","locked","",""
"GGYYY","locked","",""
"GGYYG","locked","",""
"GGYGX","locked","",""
"GGYGY","locked","",""
"GGYGG","locked","",""
"GGGXX","unlocked","Marty","1881"
"GGGXY","locked","",""
"GGGXG","unlocked","tb","1885"
"GGGYX","locked","",""
"GGGYY","locked","",""
"GGGYG","locked","",""
"GGGGX","unlocked","Marty","1881"
"GGGGY","locked","",""
"GGGGG","unlocked","Martini","1879"
